1,2 Pac,Baby Don't Cry (Keep...,0.001
2,2Gether,The Hardest Part Of ...,0.001
3,3 Doors Down,Kryptonite,0.003
4,3 Doors Down,Loser,0.042
5,504 Boyz,Wobble Wobble,0.003
6,98^0,Give Me Just One Nig…,0.08
7,A*Teens,Dancing Queen,0.001
8,Aaliyah,I Don't Wanna,0.007
9,Aaliyah,Try Again,0.001
10,"Adams, Yolanda",Open My Heart,0.001
11,"Adkins, Trace",More,0.2
12,"Aguilera, Christina",Come On Over Baby (A...,0.09
13,"Aguilera, Christina",I Turn To You,0.001
14,"Aguilera, Christina",What A Girl Wants,0.001
15,Alice Deejay,Better Off Alone,0.08
16,"Allan, Gary",Smoke Rings In The D...,0.2
17,Amber,Sexual,0.003
18,Anastacia,I'm Outta Love,0.001
19,"Anthony, Marc",My Baby You,0.09
20,"Anthony, Marc",You Sang To Me,0.001
21,Avant,My First Love,0.006
22,Avant,Separated,0.003
23,BBMak,Back Here,0.08
24,"Backstreet Boys, The",Shape Of My Heart,0.001
25,"Backstreet Boys, The",Show Me The Meaning ...,0.042
26,"Backstreet Boys, The",The One,0.09
27,"Badu, Erkyah",Bag Lady,0.001
28,Baha Men,Who Let The Dogs Out,0.001
29,Barenaked Ladies,Pinch Me,0.001
30,Beenie Man,Girls Dem Sugar,0.001
31,Before Dark,Monica,0.001
32,"Bega, Lou",Tricky Tricky,0.003
33,Big Punisher,It's So Hard,0.08
34,Black Rob,Whoa!,0.001
35,"Black, Clint",Been There,0.006
36,Blaque,Bring It All To Me,0.2
37,"Blige, Mary J.",Deep Inside,0.087
38,"Blige, Mary J.",Give Me You,0.042
39,Blink-182,All The Small Things,0.094
40,Bloodhound Gang,The Bad Touch,0.006
41,Bon Jovi,It's My Life,0.09
42,"Braxton, Toni",He Wasn't Man Enough,0.007
43,"Braxton, Toni",Just Be A Man About ...,0.087
44,"Braxton, Toni",Spanish Guitar,0.065
45,"Brock, Chad",A Country Boy Can Su...,0.003
46,"Brock, Chad",Yes!,0.05
47,Brooks & Dunn,You'll Always Be Lov...,0.003
48,"Brooks, Garth",Do What You Gotta Do,0.2
49,"Byrd, Tracy",Put Your Hand In Min...,0.042
50,"Cagle, Chris",My Love Goes On And ...,0.08
51,Cam'ron,What Means The World...,0.03
52,"Carey, Mariah",Crybaby,0.003
53,"Carey, Mariah",Thank God I Found Yo...,0.094
54,"Carter, Aaron",Aaron's Party (Come ...,0.01
55,"Carter, Torrey",Take That,0.087
56,Changing Faces,That Other Woman,0.08
57,"Chesney, Kenny",I Lost It,0.006
58,"Chesney, Kenny",What I Need To Do,0.08
59,Clark Family Experience,Meanwhile Back At Th...,0.09
60,"Clark, Terri",A Little Gasoline,0.094
61,Common,The Light,0.042
62,Counting Crows,Hanginaround,0.007
63,Creed,Higher,0.006
64,Creed,With Arms Wide Open,0.087
65,"Cyrus, Billy Ray",You Won't Be Lonely ...,0.001
66,D'Angelo,Left & Right,0.001
67,D'Angelo,Untitled (How Does I...,0.003
68,DMX,Party Up (Up In Here...,0.042
69,DMX,What You Want,0.003
70,DMX,What's My Name,0.08
71,Da Brat,That's What I'm Look...,0.001
72,Da Brat,What'Chu Like,0.007
73,"Davidson, Clay",Unconditional,0.001
74,De La Soul,All Good?,0.001
75,Destiny's Child,Independent Women Pa...,0.2
76,Destiny's Child,Jumpin' Jumpin',0.09
77,Destiny's Child,Say My Name,0.001
78,"Diffie, Joe",It's Always Somethin...,0.001
79,"Diffie, Joe",The Quittin' Kind,0.08
80,"Dion, Celine",That's The Way It Is,0.2
81,"Dixie Chicks, The",Cold Day In July,0.003
82,"Dixie Chicks, The",Cowboy Take Me Away,0.001
83,"Dixie Chicks, The",Goodbye Earl,0.09
84,"Dixie Chicks, The",Without You,0.001
85,Dr. Dre,Forgot About Dre,0.006
86,Dr. Dre,The Next Episode,0.003
87,Drama,"Left, Right, Left",0.08
88,Dream,He Loves U Not,0.001
89,"Eastsidaz, The",G'D Up,0.042
90,"Eastsidaz, The",Got Beef,0.09
91,Eiffel 65,Blue,0.001
92,"Elliott, Missy ""Misdemeanor""",Hot Boyz,0.001
93,Eminem,Stan,0.001
94,Eminem,The Real Slim Shady,0.001
95,Eminem,The Way I Am,0.001
96,En Vogue,Riddle,0.003
97,"Estefan, Gloria",No Me Dejes De Quere...,0.08
98,"Evans, Sara",Born To Fly,0.001
99,Eve,Got It All,0.006
100,Eve,Love Is Blind,0.2
101,Everclear,Wonderful,0.087
102,"Fabian, Lara",I Will Love Again,0.042
103,Fatboy Slim,The Rockafeller Skan...,0.094
104,Filter,Take A Picture,0.006
105,Foo Fighters,Learn To Fly,0.09
106,Fragma,Toca's Miracle,0.007
107,Funkmaster Flex,Do You,0.087
108,Ghostface Killah,Cherchez LaGhost,0.065
109,"Gill, Vince",Feels Like Love,0.003
110,"Gilman, Billy",One Voice,0.05
111,Ginuwine,None Of Ur Friends B...,0.003
112,Ginuwine,The Best Man I Can B...,0.2
113,Goo Goo Dolls,Broadway,0.042
114,"Gray, Macy",I Try,0.08
115,"Griggs, Andy",She's More,0.03
116,Guy,Dancin',0.003
117,Hanson,This Time Around,0.094
118,"Hart, Beth",L.A. Song,0.01
